"year","biom","se","lci","uci","pred"
1984,50326.00515,7114.215913,36382,64270,69610.6
1987,105957.4891,13614.16357,79274,132641,90921.5
1990,102378.594,14540.9392,73878,130879,108263
1993,115463.4822,21872.8121,72593,158334,117586
1996,263052.7148,92107.86177,82521,443584,120015
1999,129403.2601,18380.10849,93378,165428,119020
2001,300370.7653,65232.16878,172516,428226,115059
2003,88968.27548,13369.10796,62765,115172,114689
2005,262370.0098,34561.76816,194629,330111,114164
2007,221028.8549,45313.98335,132213,309844,113686
2009,76828.40326,10795.63655,55669,97988,111324
2011,168267.5144,27466.51744,114433,222102,105357
2013,297284.7249,55337.32493,188824,405746,95866.1
2015,145105.1367,35066.51275,76375,213836,84807.9
2017,203698.8083,37048.35104,131084,276314,75304.3
2019,124643.2955,20433.66224,84593,164693,68642
